question,answer
What courses are offered?,We offer B.Tech in CSE ECE EEE Mechanical and Civil Engineering.
How can I apply for admission?,Students can apply online through the college admission portal.
What is the admission eligibility?,Candidates must have passed 12th standard with PCM.
Is there a hostel facility?,Yes separate hostel facilities are available for boys and girls.
What is the fee structure?,The annual tuition fee is approximately INR 75000.
Does the college provide placements?,Yes the college has an active placement cell with reputed companies.
What are the college working hours?,The college operates from 9 AM to 4 PM on working days.
Is transportation available?,Yes college buses are available from major locations.
Is there a library?,Yes the college has a well-equipped digital and physical library.
Where is the college located?,ABC Institute of Technology is located in Chennai Tamil Nadu.
